SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
AERON,SM,7000.0,6000.0,85.71
AERONEU,EQ,19619.0,5705.0,29.08
AESTHETIK,SM,7000.0,7000.0,100.0
AETHER,EQ,69302.0,41071.0,59.26
AFCONS,EQ,182469.0,92089.0,50.47
AFFLE,EQ,118296.0,65334.0,55.23
AFFORDABLE,EQ,322177.0,256091.0,79.49
AFIL,EQ,1000303.0,703772.0,70.36
AFSL,EQ,18243.0,13909.0,76.24
AGARIND,EQ,15968.0,11223.0,70.28
AGARWALEYE,EQ,497799.0,190746.0,38.32
AGARWALFT,SM,4500.0,4500.0,100.0
AGARWALTUF,SM,39600.0,34800.0,87.88
AGI,EQ,36917.0,20973.0,56.81
AGIIL,EQ,156761.0,57542.0,36.71
AGNI,ST,10000.0,10000.0,100.0
AGRITECH,EQ,2000.0,1027.0,51.35
AHLADA,EQ,14219.0,9932.0,69.85
AHLEAST,EQ,1536.0,1367.0,89.0
AHLUCONT,EQ,25242.0,15587.0,61.75
AIAENG,EQ,70902.0,56520.0,79.72
AIIL,EQ,49897.0,23137.0,46.37
AILIMITED,SM,1500.0,1500.0,100.0
AIMTRON,SM,49400.0,34800.0,70.45
AIRAN,EQ,60274.0,48460.0,80.4
AIROLAM,EQ,2372.0,1618.0,68.21
AIRTELPP,E1,133385.0,100176.0,75.1
AISL,SM,1200.0,1200.0,100.0
AJANTPHARM,EQ,102941.0,74541.0,72.41
AJAXENGG,EQ,21679.0,11488.0,52.99
AJMERA,EQ,120357.0,71233.0,59.18
AJOONI,EQ,235514.0,171748.0,72.92
AKANKSHA,SM,10000.0,4000.0,40.0
AKASH,EQ,4318.0,3531.0,81.77
AKG,EQ,21790.0,19316.0,88.65
AKI,EQ,52596.0,46404.0,88.23
AKIKO,ST,8000.0,8000.0,100.0
AKSHARCHEM,EQ,2264.0,1084.0,47.88
AKSHOPTFBR,EQ,169115.0,116003.0,68.59
AKUMS,EQ,53334.0,32163.0,60.3
AKZOINDIA,EQ,77099.0,52718.0,68.38
ALANKIT,EQ,158233.0,110202.0,69.65
ALBERTDAVD,EQ,3265.0,2214.0,67.81
ALEMBICLTD,EQ,176384.0,100215.0,56.82
ALICON,EQ,19345.0,9667.0,49.97
ALIVUS,EQ,27710.0,14970.0,54.02
ALKALI,EQ,6371.0,2129.0,33.42
ALKEM,EQ,178327.0,139406.0,78.17
ALKYLAMINE,EQ,29359.0,14207.0,48.39
ALLCARGO,EQ,7457848.0,1904921.0,25.54
ALLDIGI,EQ,21417.0,9275.0,43.31
ALLETEC,SM,14400.0,10000.0,69.44
ALLTIME,EQ,179175.0,100734.0,56.22
ALMONDZ,EQ,736099.0,442522.0,60.12
ALOKINDS,EQ,2104251.0,1275750.0,60.63
ALPA,EQ,6817.0,4404.0,64.6
ALPEXSOLAR,SM,44900.0,34600.0,77.06
ALPHA,EQ,4265938.0,3828562.0,89.75
ALPHAETF,EQ,358445.0,283253.0,79.02
ALPHAGEO,EQ,7616.0,3821.0,50.17
ALPL30IETF,EQ,341913.0,250126.0,73.15
ALUWIND,SM,12000.0,10500.0,87.5
AMANTA,EQ,40718.0,24247.0,59.55
AMBER,EQ,164814.0,70303.0,42.66
AMBEY,SM,10000.0,10000.0,100.0
AMBICAAGAR,EQ,2321.0,1659.0,71.48
AMBIKCO,EQ,5453.0,4287.0,78.62
AMBUJACEM,EQ,1161448.0,478591.0,41.21
AMCL,ST,2400.0,2400.0,100.0
AMDIND,EQ,14400.0,10058.0,69.85
AMEYA,SM,4000.0,4000.0,100.0
AMJLAND,EQ,55137.0,35843.0,65.01
AMNPLST,EQ,4828.0,3238.0,67.07
AMRUTANJAN,EQ,13284.0,7319.0,55.1
ANANDRATHI,EQ,119388.0,61536.0,51.54
ANANTAM,IV,20677.0,20338.0,98.36
ANANTRAJ,EQ,2188499.0,603381.0,27.57
ANDHRAPAP,EQ,51529.0,31777.0,61.67
ANDHRSUGAR,EQ,84810.0,42450.0,50.05
ANGELONE,EQ,1011363.0,175281.0,17.33
ANIKINDS,EQ,29951.0,6754.0,22.55
ANLON,SM,12400.0,10000.0,80.65
ANMOL,EQ,85698.0,54227.0,63.28
ANNAPURNA,SM,20000.0,13750.0,68.75
ANONDITA,ST,3000.0,3000.0,100.0
ANTELOPUS,EQ,21268.0,11973.0,56.3
ANTGRAPHIC,EQ,129493.0,105285.0,81.31
ANTHEM,EQ,343679.0,184730.0,53.75
ANUHPHR,EQ,37833.0,25476.0,67.34
ANUP,EQ,13167.0,7045.0,53.5
ANURAS,EQ,70828.0,42048.0,59.37
AONEGOLD,EQ,367047.0,266088.0,72.49
AONELIQUID,EQ,144894.0,11509.0,7.94
AONENIFTY,EQ,199999.0,147762.0,73.88
AONETOTAL,EQ,599787.0,345965.0,57.68
APARINDS,EQ,299900.0,176658.0,58.91
APCL,EQ,3275.0,1817.0,55.48
APCOTEXIND,EQ,7269.0,4411.0,60.68
APEX,EQ,49612.0,24633.0,49.65
APEXECO,SM,12000.0,8800.0,73.33
APLAPOLLO,EQ,1035265.0,652298.0,63.01
APLLTD,EQ,69233.0,37561.0,54.25
APOLLO,EQ,2005454.0,831016.0,41.44
APOLLOHOSP,EQ,347031.0,217520.0,62.68
APOLLOPIPE,EQ,277336.0,129229.0,46.6
APOLLOTYRE,EQ,305198.0,128327.0,42.05
APOLSINHOT,EQ,997.0,894.0,89.67
APRAMEYA,SM,500.0,500.0,100.0
APS,SM,79750.0,46500.0,58.31
APTECHT,EQ,130954.0,66934.0,51.11
APTUS,EQ,2603876.0,1157630.0,44.46
ARABIAN,SM,2000.0,2000.0,100.0
ARCHIDPLY,EQ,27773.0,20342.0,73.24
ARCHIES,EQ,10156.0,7089.0,69.8
ARE&M,EQ,349272.0,162950.0,46.65
ARENTERP,EQ,1460.0,1298.0,88.9
ARHAM,SM,19000.0,13000.0,68.42
ARIES,EQ,32623.0,20202.0,61.93
ARIHANTACA,ST,2000.0,1600.0,80.0
ARIHANTCAP,EQ,1456233.0,352216.0,24.19
ARIHANTSUP,EQ,7714.0,3641.0,47.2
ARISINFRA,EQ,249956.0,73851.0,29.55
ARISTO,SM,1600.0,1600.0,100.0
ARKADE,EQ,640214.0,229898.0,35.91
ARMANFIN,EQ,8849.0,4296.0,48.55
AROGRANITE,EQ,13234.0,9782.0,73.92
ARROWGREEN,EQ,19419.0,9351.0,48.15
ARSSBL,EQ,317482.0,143472.0,45.19
ARTEMISMED,EQ,176341.0,96853.0,54.92
ARTNIRMAN,EQ,2170.0,1199.0,55.25
ARUNAYA,SM,8000.0,8000.0,100.0
ARVEE,EQ,1566.0,1459.0,93.17
ARVIND,EQ,162476.0,78672.0,48.42
ARVINDFASN,EQ,103395.0,54236.0,52.46
